,Actor,Movies
1051,John Ratzenberger,"['Cars', 'Star Wars Episode V: The Empire Strikes Back', 'Ratatouille', 'Gandhi', ""A Bug's Life""]"
1052,Paul Dano,"[""The Emperor's Club"", 'Taking Lives']"
1053,Al Ernest Garcia,['The Circus']
1054,Strother Martin,"['Slap Shot', ""Cheech & Chong's Up in Smoke""]"
1055,Esmond Knight,"['Hamlet', 'Gone to Earth']"
1056,Richard Branson,"['Casino Royale', 'Around the World in 80 Days']"
1057,Saeed Jaffrey,"['Gandhi', 'Shatranj Ke Khiladi']"
1058,Maggie Gyllenhaal,"['Cecil B. Demented', 'Secretary', 'Adaptation']"
1059,Chris Rock,"['A.I.', 'Madagascar', 'Dogma', 'Head of State', ""I'm Gonna Git You Sucka"", 'Down to Earth']"
1060,Jason Statham,"['The One', 'Cellular', 'Snatch', 'Collateral']"
1061,Christian Bale,"['Laurel Canyon', 'Reign of Fire', 'Shaft', 'Pocahontas', 'Swing Kids', 'Equilibrium', 'Metroland', 'Henry V', 'Little Women']"
1062,James Phelps,"['Harry Potter and the Chamber of Secrets', 'Harry Potter and the Prisoner of Azkaban', ""Harry Potter and the Philosopher's Stone"", 'Harry Potter and the Goblet of Fire', 'Harry Potter and the Order of the Phoenix', 'Harry Potter and the Half-Blood Prince']"
1063,Edith Evans,"['Scrooge', 'Tom Jones']"
1064,Michael Papajohn,"['Terminator 3: Rise of the Machines', 'Hulk', 'Spider-Man']"
1065,Ed Asner,"['JFK', 'Elf']"
1066,Lauren Bacall,"['Key Largo', 'Birth']"
1067,Estelle Parsons,"['Dick Tracy', 'Bonnie and Clyde']"
1068,Traylor Howard,"['Dirty Work', 'Me, Myself & Irene']"
1069,Alexandre Rodrigues,['City of God']
1070,Austin O'Brien,"['The Baby-Sitters Club', 'The Lawnmower Man']"
1071,Raymond Cruz,['Alien: Resurrection']
1072,Billy Boyd,"['The Lord of the Rings: The Return of the King', 'Master and Commander: The Far Side of the World', 'The Lord of the Rings: The Two Towers', 'The Lord of the Rings: The Fellowship of the Ring']"
1073,Errol Flynn,"['Dodge City', 'The Adventures of Robin Hood', 'The Sea Hawk', 'Captain Blood', 'Edge of Darkness']"
1074,Sam Rockwell,"['The Green Mile', 'Heist', 'Celebrity', ""The Hitchhiker's Guide to the Galaxy"", ""Charlie's Angels""]"
1075,Grace Zabriskie,"['Wild at Heart', ""Child's Play 2""]"
1076,Kevin McNally,"[""Pirates of the Caribbean: Dead Man's Chest"", 'Pirates of the Caribbean: The Curse of the Black Pearl', 'The Phantom of the Opera']"
1077,Charles Coburn,"['Heaven Can Wait', ""Idiot's Delight"", 'Wilson']"
1078,Rick Rossovich,"['Top Gun', 'Roxanne']"
1079,Vivica A. Fox,"['Independence Day', 'Kill Bill', 'Booty Call', 'Soul Food']"
1080,Adolphe Menjou,"['Morocco', 'Morning Glory']"
1081,Rene Auberjonois,"['The Little Mermaid', 'Walker', 'McCabe & Mrs. Miller', 'MASH']"
1082,Lois Wilson,['Bright Eyes']
1083,Cary-Hiroyuki Tagawa,"['Twins', 'Mortal Kombat', 'Elektra', 'Vampires', 'Planet of the Apes']"
1084,Janet Leigh,"[""John Carpenter's The Fog"", 'Psycho', 'The Manchurian Candidate']"
1085,Coleen Gray,"['Red River', 'Kiss of Death']"
1086,Harve Presnell,"['Fargo', 'Old School']"
1087,Adrian Rawlins,"[""Harry Potter and the Philosopher's Stone"", 'Harry Potter and the Goblet of Fire', 'Harry Potter and the Order of the Phoenix']"
1088,Joseph Fiennes,"['Martha, Meet Frank, Daniel and Laurence', 'Elizabeth', 'Sinbad: Legend of the Seven Seas', 'Leo']"
1089,Steven Blum,"['Cowboy Bebop: The Movie', 'Final Fantasy VII: Advent Children']"
1090,Robert Sean Leonard,"['Mr. & Mrs. Bridge', 'Swing Kids', 'Tape']"
1091,Bernie Mac,"[""Charlie's Angels: Full Throttle"", 'Friday', ""Ocean's Twelve"", 'Head of State']"
1092,Dustin Hoffman,"['The Messenger: The Story of Joan of Arc', 'Hook', 'Hero', 'I heart Huckabees', 'Lenny', 'Outbreak', 'Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me?', 'Papillon', ""Madigan's Millions"", 'Ishtar', 'Sphere', 'Dick Tracy', 'Sleepers']"
1093,Anjelica Huston,"['The Dead', ""Buffalo '66"", ""Prizzi's Honor"", 'The Grifters']"
1094,Scarlett Johansson,"['Ghost World', ""The Man Who Wasn't There"", 'Lost in Translation', 'The Island', 'North']"
1095,Loren Dean,"['Apollo 13', 'Enemy of the State']"
1096,William Daniels,"['Blind Date', 'The Blue Lagoon']"
1097,Rob Schneider,"['The Adventures of Pinocchio', 'Big Daddy', 'Home Alone 2: Lost in New York']"
1098,Ian Charleson,"['Gandhi', 'Greystoke - The Legend of Tarzan, Lord of the Apes']"
1099,Kristin Scott Thomas,"['The English Patient', 'Mission: Impossible', 'Richard III']"
1100,Hugh Laurie,"[""Peter's Friends"", 'Sense and Sensibility', 'Blackadder: Back & Forth']"
1101,Andrew Keegan,"['O', 'The Broken Hearts Club: A Romantic Comedy']"
1102,Angela Lansbury,"['Anastasia', 'Aladdin', 'The Last Unicorn', 'Beauty and the Beast', 'The Manchurian Candidate']"
1103,Fred Willard,"['Anchorman: The Legend of Ron Burgundy', 'Chicken Little']"
1104,Douglas Fairbanks,"['Robin Hood', 'The Thief of Bagdad', 'The Three Musketeers', 'Intolerance', 'The Mark of Zorro']"
1105,Michael Schoeffling,"['Vision Quest', 'Mermaids']"
1106,James Gandolfini,"['Fallen', ""All the King's Men"", 'Crimson Tide', ""The Man Who Wasn't There"", '8mm']"
1107,Aldis Hodge,"[""Big Momma's House"", 'Die Hard: With a Vengeance']"
1108,Emily Browning,"[""Lemony Snicket's A Series of Unfortunate Events"", 'Ghost Ship']"
1109,Lynn Lowry,"['Cat People', 'Shivers']"
1110,Majel Barrett,"['Star Trek: First Contact', 'Star Trek Nemesis']"
1111,Dominique Labourier,['Celine et Julie vont En Bateau']
1112,Bijou Phillips,"['Black and White', 'Bully']"
1113,Raoul Bova,"['Under the Tuscan Sun', 'AVP: Alien vs. Predator']"
1114,Grant Heslov,"[""Dante's Peak"", 'Congo']"
1115,Morgan Freeman,"['The Civil War', 'Kiss the Girls', 'Chain Reaction', 'Outbreak', 'Levity', 'The Big Bounce', 'Glory', 'Deep Impact', 'Amistad', 'That Was Then... This Is Now', 'Lean on Me', 'War of the Worlds', 'Robin Hood: Prince of Thieves']"
1116,Jet Li,"['Hero', 'The One']"
1117,Phil Morris,"[""Atlantis: Milo's Return"", 'Atlantis: The Lost Empire']"
1118,Zoe Saldana,"['Crossroads', 'Get Over It']"
1119,Mel Ferrer,"['Oh... Rosalinda!!', 'The Fall of the Roman Empire']"
1120,Colin Salmon,"['Resident Evil', 'AVP: Alien vs. Predator']"
1121,Derek Francis,"['Scrooge', 'Jabberwocky']"
1122,Talia Shire,"['The Godfather Part III', 'Rad']"
1123,Florence Stanley,"[""Atlantis: Milo's Return"", 'Atlantis: The Lost Empire']"
1124,Donal Logue,"['Sneakers', 'Blade']"
1125,Ben Masters,"['Mandingo', 'Making Mr. Right']"
1126,Mickey Rooney,"[""Pete's Dragon"", ""It's a Mad, Mad, Mad, Mad World"", 'The Black Stallion', ""Breakfast at Tiffany's"", 'Boys Town', 'The Fox and the Hound']"
1127,Michael Ansara,"['The Ten Commandments', 'Batman & Mr. Freeze: SubZero']"
1128,Amy Smart,"['Rat Race', 'Road Trip']"
1129,Peter Finch,"['Network', 'Lost Horizon', 'The Battle of the River Plate']"
1130,Michael Lerner,"['Blank Check', ""Mockingbird Don't Sing"", 'Godzilla', 'Celebrity']"
1131,Nancy Travis,"['Chaplin', 'Air America', 'Fluke', 'The Vanishing']"
1132,Anthony Rapp,"['Dazed and Confused', 'Rent']"
1133,Aubree Miller,"['Ewoks: The Battle for Endor', 'Caravan of Courage: An Ewok Adventure']"
1134,Salli Richardson,"['Anacondas: The Hunt for the Blood Orchid', 'Antwone Fisher']"
1135,Omar Sharif,"[""Mackenna's Gold"", 'Top Secret!', 'Hidalgo', 'Lawrence of Arabia', 'The Fall of the Roman Empire']"
1136,Ashley Peldon,"['Ghost World', ""Cats Don't Dance""]"
1137,Amy Birnbaum,"['Pokamon: Jirachi Wishmaker', 'Pokamon: Destiny Deoxys', 'Yu-Gi-Oh! The Movie: Pyramid of Light', 'Pokamon: Lucario and the Mystery of Mew']"
1138,Kelly Lynch,"[""Charlie's Angels"", 'Cocktail', 'Road House']"
1139,John Carradine,"['The Hurricane', 'Stagecoach', 'Everything You Always Wanted to Know About Sex (But Were Afraid to Ask)']"
1140,Harry Dean Stanton,"['The Green Mile', 'Anger Management', ""Kelly's Heroes"", 'The Rose', 'The Pledge', 'Wild at Heart', 'The Big Bounce', 'Twin Peaks: Fire Walk With Me', 'The Hostage', 'Paris, Texas']"
1141,Samuel L. Jackson,"['XXX', 'Star Wars Episode I: The Phantom Menace', 'Shaft', 'Star Wars Episode II: Attack of the Clones', 'Sphere', 'Twisted', 'Die Hard: With a Vengeance', 'Pulp Fiction', 'Ragtime', 'Star Wars Episode III: Revenge of the Sith', 'Kiss of Death', 'Fluke', 'Rules of Engagement', 'S.W.A.T.', ""Mo' Better Blues"", 'Basic', 'Jackie Brown', 'Hard Eight', 'Freedomland', 'Jurassic Park']"
1142,Arthur Malet,"['Hook', 'Toys']"
1143,Dougray Scott,"['Mission: Impossible II', 'Enigma', 'Deep Impact']"
1144,Lee Grant,"[""Airport '77"", 'Shampoo']"
1145,Anna Paquin,"['X-Men', 'Laputa: Castle in the Sky', 'Amistad', 'X2', '25th Hour', 'Darkness', ""She's All That""]"
1146,Wil Wheaton,"['Star Trek Nemesis', 'Python', 'Stand by Me']"
1147,Jean Rochefort,"[""L'homme du train"", '""From Time to Time""/""De Temps en Temps""']"
1148,Moses Gunn,"['Ragtime', ""Shaft's Big Score"", 'Rollerball', 'Shaft']"
1149,Dennis Miller,"['The Net', 'Madhouse']"
1150,Nikita Hopkins,"[""Piglet's Big Movie"", ""Pooh's Heffalump Movie""]"
1151,Emily Mortimer,"['The Kid', 'Elizabeth', 'Young Adam']"
1152,Mike Dopud,"['White Noise', 'Rollerball']"
1153,Gene Lockhart,"['Abe Lincoln in Illinois', 'A Christmas Carol']"
1154,William Sadler,"['Kinsey', 'Project X', ""Bill & Ted's Bogus Journey"", 'Tales from the Crypt presents: Demon Knight']"
1155,Peter Stormare,"['Circus', 'Armageddon', 'Fargo', 'Minority Report', 'Constantine', '8mm', 'The Lost World: Jurassic Park']"
1156,Michael J. Anderson,"['Mulholland Drive', 'Industrial Symphony No. 1']"
1157,Brandon De Wilde,"['Hud', ""In Harm's Way""]"
1158,Jane Curtin,"[""Mr. Mike's Mondo Video"", 'The Librarian']"
1159,Richard Edson,"['Platoon', 'Super Mario Bros.']"
1160,Chow Yun-Fat,"['The Killer', 'Once a Thief']"
1161,Rachel Weisz,"['Eragon', 'Chain Reaction', 'The Land Girls', 'The Mummy', 'Constantine']"
1162,Sam Huntington,"['Sleepover', 'Fanboys', 'Detroit Rock City']"
1163,Jon Bon Jovi,"['Pay It Forward', 'U-571']"
1164,Alex Vincent,"[""Child's Play"", ""Child's Play 2""]"
1165,Tim Guinee,"['Blade', 'Vampires']"
1166,Jordana Brewster,"['Win a Date with Tad Hamilton!', 'The Fast and the Furious']"
1167,Rosemary Harris,"['Tom & Viv', 'The Gift', 'Holocaust', 'Spider-Man']"
1168,Abe Vigoda,"[""Look Who's Talking"", 'Batman: Mask of the Phantasm', 'North']"
1169,Robert Patrick,"['Terminator 2: Judgment Day', ""Charlie's Angels: Full Throttle"", 'Striptease', ""Wayne's World""]"
1170,Michael Rosenbaum,"['Urban Legend', 'Cursed']"
1171,Jason Lee,"['Dogma', 'Enemy of the State']"
1172,Frank Shannon,"[""Flash Gordon's Trip to Mars"", 'Flash Gordon']"
1173,Chris Klein,"['Rollerball', 'Election']"
1174,James Olson,"['Ragtime', 'Commando']"
1175,Alec Baldwin,"['Alice', 'The Edge', 'Final Fantasy: The Spirits Within', 'Pearl Harbor', ""She's Having a Baby""]"
1176,Roshan Seth,"['Gandhi', 'Street Fighter', 'Little Dorrit']"
1177,Basil Sydney,"['The Dam Busters', 'Hamlet']"
1178,Brian Donlevy,"['Kiss of Death', 'Wake Island', ""Dead Men Don't Wear Plaid""]"
1179,Warren Oates,"['Badlands', '1941', 'Stripes']"
1180,David Threlfall,"['Conspiracy', 'Master and Commander: The Far Side of the World']"
1181,Taro Yamamoto,"['Battle Royale', 'Go']"
1182,Barbara Harris,"['Dirty Rotten Scoundrels', 'Nashville', 'Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me?']"
1183,Molly Shannon,"['Happiness', 'Good Boy!', 'Serendipity']"
1184,Kim Basinger,"['Cellular', 'Blind Date', 'Batman', ""Wayne's World 2"", 'The Real McCoy']"
1185,Patrick Swayze,"['Point Break', 'To Wong Foo, Thanks for Everything! Julie Newmar', 'Dirty Dancing', 'Road House', 'Ghost']"
1186,Max Casella,"['The Little Mermaid II: Return to the Sea', 'Dinosaur']"
1187,Chris Sarandon,"['The Osterman Weekend', ""Child's Play"", 'The Princess Bride']"
1188,John Payne,"[""Tennessee's Partner""]"
1189,Elizabeth Taylor,"['Quo Vadis', 'The Flintstones', 'Father of the Bride', ""That's Entertainment!"", 'Night Watch', 'Giant']"
1190,Irene Bedard,"['Smoke Signals', 'Pocahontas']"
1191,Katherine Helmond,"['Cars', 'Brazil']"
1192,Alice Krige,"['Children of Dune', 'King David', 'Reign of Fire', 'Star Trek: First Contact']"
1193,Nicholle Tom,"[""Beethoven's 2nd"", 'Beethoven', 'Panic']"
1194,E. G. Marshall,"[""National Lampoon's Christmas Vacation"", 'The Caine Mutiny', 'Tora! Tora! Tora!', 'Nixon']"
1195,Daniel Cudmore,"['X2', 'Alone in the Dark', 'Are We There Yet']"
1196,Fionnula Flanagan,"['The Others', 'Caravan of Courage: An Ewok Adventure']"
1197,Zsa Zsa Gabor,"['Moulin Rouge', ""Boys' Night Out""]"
1198,Vinnie Jones,"['Snatch', 'The Big Bounce', 'Swordfish']"
1199,Richard Dysart,"['Laputa: Castle in the Sky', ""John Carpenter's The Thing""]"
1200,Joe Turkel,"['The Sand Pebbles', 'The Shining']"
1201,Candice Bergen,"['Starting Over', ""Oliver's Story"", 'Sweet Home Alabama', 'The Sand Pebbles', '2010: The Year We Make Contact', 'Carnal Knowledge', 'Gandhi']"
1202,Ruben Santiago-Hudson,"[""The Devil's Advocate"", 'Shaft']"
1203,Anthony Quinn,"['Warlock', 'Revenge', 'Lawrence of Arabia', 'Lust for Life', 'Viva Zapata!']"
1204,LeVar Burton,"['Star Trek: First Contact', 'Star Trek Nemesis', 'Star Trek: Generations', 'Star Trek: Insurrection']"
1205,Chris Owen,"['Angus', ""Can't Hardly Wait""]"
1206,Naoko Watanabe,"['Burn Up!! A Close, Intense, Super-Fierce Battle', 'Rebirth of Fusion!! Goku and Vegeta!!']"
1207,Cherry Jones,"['Signs', 'The Village', ""Ocean's Twelve"", 'Erin Brockovich']"
1208,Cindy Margolis,"['Austin Powers: International Man of Mystery', 'Chairman of the Board']"
1209,Bill Nighy,"['Underworld: Evolution', 'Underworld', ""Pirates of the Caribbean: Dead Man's Chest"", ""The Hitchhiker's Guide to the Galaxy""]"
1210,James DeBello,"['Detroit Rock City', 'Cabin Fever']"
1211,Rani Mukerji,"['Mujhse Dosti Karoge!', 'Khabi Khushi Kabhi Gham', 'Mangal Pandey: The Rising']"
1212,John Lynch,"['Edward II', 'The Secret Garden']"
1213,Edward Van Sloan,"['Dracula', 'The Mummy', 'Frankenstein']"
1214,Miriam Margolyes,"['Harry Potter and the Chamber of Secrets', 'Little Dorrit', 'Romeo + Juliet', 'Balto', 'Immortal Beloved', 'James and the Giant Peach', 'Babe']"
1215,Maria Bello,"['Assault on Precinct 13', 'Silver City', ""Nobody's Perfect""]"
1216,Lisa Marie,"['Ed Wood', 'Sleepy Hollow']"
1217,Jeffrey Jones,"[""Ferris Bueller's Day Off"", 'The Crucible', 'Ed Wood', 'Sleepy Hollow', ""The Devil's Advocate"", 'Dr. Dolittle 2', ""Who's Harry Crumb?"", 'Amadeus']"
1218,Finlay Currie,"[""I Know Where I'm Going!"", 'Quo Vadis', 'The Fall of the Roman Empire']"
1219,Frances McDormand,"['Laurel Canyon', 'Primal Fear', 'Fargo', ""Something's Gotta Give"", ""The Man Who Wasn't There""]"
1220,Guillermo Diaz,"['Nowhere', 'Freeway', 'Party Girl']"
1221,Megan Hollingshead,"['Pokamon: Destiny Deoxys', 'Pokamon: Jirachi Wishmaker']"
1222,Christopher Eccleston,"['Gone in Sixty Seconds', 'Jude', 'The Others', 'Elizabeth']"
1223,Daryl Karolat,"['X-Men', 'Troy']"
1224,Bridget Fonda,"['The Godfather Part III', 'Scandal', 'Balto', 'Singles', 'Point of No Return', 'Lake Placid', 'City Hall', 'Jackie Brown']"
1225,Mary Pickford,"['Poor Little Rich Girl', 'Coquette', 'Ramona']"
1226,Steve Martin,"['My Blue Heaven', 'Dirty Rotten Scoundrels', 'Looney Tunes: Back in Action', 'Roxanne', ""Dead Men Don't Wear Plaid"", 'Father of the Bride', 'Â¡Three Amigos!', 'Cheaper by the Dozen']"
1227,Juliette Binoche,"['The English Patient', 'Three Colors: Blue']"
1228,Patrick Godfrey,"['Clockwise', 'The Count of Monte Cristo']"
1229,Christine Cavanaugh,"['Babe', 'Rugrats in Paris: The Movie']"
1230,Kim Cattrall,"['Crossroads', ""Porky's"", 'Mannequin', 'Star Trek VI: The Undiscovered Country']"
1231,S. Epatha Merkerson,"[""She's Gotta Have It"", 'Exiled: A Law & Order Movie']"
1232,Pete Kaplan,"['Pokamon: Destiny Deoxys', 'Pokamon: Jirachi Wishmaker', 'Pokamon: Lucario and the Mystery of Mew']"
1233,Stephanie Finochio,"['Trinity', 'Taxi']"
1234,George Segal,"[""Look Who's Talking"", 'The Longest Day', 'Ship of Fools', 'King Rat']"
1235,Billy Zane,"['Tombstone', 'Dead Calm', 'Orlando', 'Titanic', 'Silver City', 'Sniper', 'Tales from the Crypt presents: Demon Knight', 'Posse']"
1236,Margo,"['Lost Horizon', ""I'll Cry Tomorrow""]"
1237,Xander Berkeley,"['Candyman', 'Apollo 13', 'Air Force One', 'Terminator 2: Judgment Day']"
1238,Bill Paterson,"['Truly, Madly, Deeply', 'Crush']"
1239,Bill Graham,"['The Doors', 'Woodstock', 'The Cotton Club']"
1240,Paul Wegener,"['The Magician', 'Kolberg']"
1241,Richard Briers,"['Henry V', 'Hamlet', 'Watership Down']"
1242,Nicolas Cage,"['Wild at Heart', '8mm', 'Gone in Sixty Seconds', 'National Treasure', 'The Cotton Club', 'Birdy', 'Kiss of Death', 'Adaptation', 'Snake Eyes', 'The Rock', 'Face/Off']"
1243,George W. Bush,"['Fahrenheit 9/11Â½', 'Fahrenheit 9/11']"
1244,Blair Underwood,"['Rules of Engagement', 'Full Frontal', 'Posse', 'Deep Impact']"
1245,Sarah McLeod,"['The Lord of the Rings: The Return of the King', 'The Lord of the Rings: The Fellowship of the Ring']"
1246,Eric Stuart,"['Pokamon: Destiny Deoxys', 'Pokamon: Lucario and the Mystery of Mew', 'Pokamon: Legend Comes to Life', 'Yu-Gi-Oh! The Movie: Pyramid of Light', 'Pokamon: Jirachi Wishmaker']"
1247,Ron Eldard,"['Sleepers', 'Freedomland', 'Ghost Ship', 'Deep Impact']"
1248,Samantha Mathis,"['The American President', 'Super Mario Bros.', 'Broken Arrow', 'Pump Up the Volume', 'Little Women']"
1249,Edmond O'Brien,"['The Hunchback of Notre Dame', 'The Longest Day', 'D.O.A.', ""Dead Men Don't Wear Plaid""]"
1250,Tony Jay,"['Tom and Jerry: The Movie', 'Twins', 'The Hunchback of Notre Dame', 'Beauty and the Beast']"
1251,Leslie Easterbrook,"['Police Academy 2: Their First Assignment', 'Police Academy']"
1252,Jack Warden,"['Problem Child', 'Shampoo', 'Dirty Work', 'Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me?', 'Toys', 'The Replacements', 'Heaven Can Wait', '...And Justice for All', 'Chairman of the Board', ""Donovan's Reef""]"
1253,Naoki Tatsuta,"['Burn Up!! A Close, Intense, Super-Fierce Battle', 'Clash!! 10,000,000,000 Powerful Warriors']"
1254,Tom Hardy,"['Star Trek Nemesis', 'Layer Cake']"
1255,Lori Cardille,['Day of the Dead']
1256,Campbell Scott,"['Mrs. Parker and the Vicious Circle', 'Singles']"
1257,Andy Garci­a,"['The Godfather Part III', 'For Love or Country: The Arturo Sandoval Story', 'When a Man Loves a Woman', ""Ocean's Twelve"", 'Twisted', 'Hero']"
1258,Mary Steenburgen,"['Cross Creek', ""What's Eating Gilbert Grape"", 'Elf', 'Ragtime', 'Time After Time', 'Picnic', 'Nixon', 'My Family', 'Philadelphia']"
1259,Tilly Losch,['The Good Earth']
1260,Ren Osugi,"['Go', 'Brother']"
1261,Ken Ogata,"['Mishima: A Life in Four Chapters', 'The Pillow Book']"
1262,Dan Green,"['Pokamon: Legend Comes to Life', 'Yu-Gi-Oh! The Movie: Pyramid of Light']"
1263,Gedde Watanabe,"['Gremlins 2: The New Batch', 'Alfie', 'UHF']"
1264,Fred MacMurray,"['The Caine Mutiny', 'Double Indemnity', 'The Shaggy Dog', ""Dead Men Don't Wear Plaid""]"
1265,James Cosmo,"[""All the Queen's Men"", 'Troy']"
1266,Ed Lauter,"['Raw Deal', 'Magic']"
1267,Ian Holm,"['Dance with a Stranger', 'Hamlet', 'The Lord of the Rings: The Fellowship of the Ring', 'Oh! What a Lovely War', ""Mary Shelley's Frankenstein"", 'Garden State', 'Holocaust', 'Naked Lunch', 'Ratatouille', 'Mary, Queen of Scots', 'Henry V', 'Greystoke - The Legend of Tarzan, Lord of the Apes', 'Jesus of Nazareth', 'Brazil', 'The Lord of the Rings: The Return of the King']"
1268,James Arness,"['The Thing', 'Them!', 'Battleground']"
1269,Griffith Jones,['Miranda']
1270,Tommy Chong,"[""Cheech & Chong's Next Movie"", ""Cheech & Chong's Up in Smoke"", 'After Hours']"
1271,Matthew A. Brown,"[""God's Army"", 'Brigham City']"
1272,Peter Weller,"['Naked Lunch', 'The Order', 'Screamers']"
1273,Wallace Beery,"['Robin Hood', 'Dr. Jekyll and Mr. Hyde', 'Grand Hotel', 'The Last of the Mohicans', 'Viva Villa!', 'The Big House']"
1274,Russell Crowe,"['The Insider', 'Master and Commander: The Far Side of the World']"
1275,Stellan Skarsgard,"['Exorcist: The Beginning', 'King Arthur', ""Pirates of the Caribbean: Dead Man's Chest"", 'Ronin', 'Ji¶nssonligans sti¶rsta kupp', 'Amistad', 'Savior']"
1276,Patricia Velasquez,"['Beowulf', 'The Mummy', 'Zapata: El suei±o de un heroe']"
